French Trail Loop,http://farm4.static.flickr.com/3597/3669841987_3ab3f8f276_s.jpg,http://alltrails.com/trail/us/california/french-trail-loop,37.8060458,-122.1485013,"Oakland, CA",trail,4
Lake Chabot Trail,http://farm2.static.flickr.com/1353/559648423_8ccb4231cc_s.jpg,http://alltrails.com/trail/us/california/lake-chabot-trail,37.7170168,-122.1045479,"Castro Valley, CA",trail,4
Palomarin Trailhead to Alamere Falls,http://cdn-assets.alltrails.com/uploads/photo/image/10187648/icon_1805313bf4ca115b48db7f8cdfc24926.jpg,http://alltrails.com/trail/us/california/palomarin-trailhead-to-alamere-falls,37.9350655,-122.748903,"Point Reyes Station, CA",trail,5
Donner Creek Trail,http://farm3.static.flickr.com/2023/2257308664_cb2d41b923_s.jpg,http://alltrails.com/trail/us/california/donner-creek-trail,37.9223679,-121.9269454,"Clayton, CA",trail,4
Muir Woods,http://farm7.static.flickr.com/6146/5986525686_9e49398209_s.jpg,http://alltrails.com/trail/us/california/muir-woods,37.8858301,-122.56833,"Mill Valley, CA",trail,4
Dipsea - Steep Ravine - Matt Davis Loop,http://cdn-assets.alltrails.com/uploads/photo/image/10132881/icon_a760cf11d5dad69282cbe20b4ca8889c.jpg,http://alltrails.com/trail/us/california/dipsea-steep-ravine-matt-davis-loop,37.8978437,-122.6372199,"Stinson Beach, CA",trail,5
Gray Whale Cove Trail,http://farm6.static.flickr.com/5052/5417163871_e7553d87c9_s.jpg,http://alltrails.com/trail/us/california/gray-whale-cove-trail,37.5634449,-122.5124395,"Pacifica, CA",trail,4
Purisima Redwoods Loop,http://cdn-assets.alltrails.com/uploads/photo/image/10127771/icon_6900b6a29cb87ce03ee9848f35a68f4e.jpg,http://alltrails.com/trail/us/california/purisima-redwoods-loop,37.4502532,-122.3384956,"Redwood City, CA",trail,4
Montara Mountain Trail,http://farm6.static.flickr.com/5241/5378298183_89890b6fa0_s.jpg,http://alltrails.com/trail/us/california/montara-mountain-trail,37.5625634,-122.5124462,"Pacifica, CA",trail,4
Cataract Falls Trail,http://cdn-assets.alltrails.com/uploads/photo/image/10226157/icon_bfeb4f9a9841128ab20a726d030758fb.jpg,http://alltrails.com/trail/us/california/cataract-falls-trail,37.938989,-122.648956,"Fairfax, CA",trail,5
Tilden Wildcat Gorge,http://cdn-assets.alltrails.com/uploads/photo/image/10130981/icon_ca5f5020b71655e7da991ca39f39d1a4.jpg,http://alltrails.com/trail/us/california/tilden-wildcat-gorge,37.894868,-122.246257,"Berkeley, CA",trail,3
Steep Ravine Trails,http://cdn-assets.alltrails.com/uploads/photo/image/10139009/icon_ae1ffe228f403d9e1fc4b26c4ee10c02.jpg,http://alltrails.com/trail/us/california/steep-ravine-trails,37.8978544,-122.6371858,"Stinson Beach, CA",trail,4
Cataract Falls,http://cdn-assets.alltrails.com/uploads/photo/image/10134536/icon_2786488d2bb6e47f9a0194d62fca99cb.jpg,http://alltrails.com/trail/us/california/cataract-falls,37.9367215,-122.6378904,"Fairfax, CA",trail,5
Lands End Trail,http://farm4.static.flickr.com/3614/3378362898_63cbc022e7_s.jpg,http://alltrails.com/trail/us/california/lands-end-trail,37.78098,-122.51172,"San Francisco, CA",trail,5
Strawberry Canyon Fire Trail,http://cdn-assets.alltrails.com/uploads/photo/image/10235937/icon_848973f1ea62f38e225f1d99649b02f4.jpg,http://alltrails.com/trail/us/california/strawberry-canyon-fire-trail,37.87278,-122.23778,"Berkeley, CA",trail,5
Mount Diablo,http://cdn-assets.alltrails.com/uploads/photo/image/10252862/icon_cffc95de01c991f9f3a309566072ee25.jpg,http://alltrails.com/trail/us/california/mount-diablo,37.88217,-121.91215,"Walnut Creek, CA",trail,4
Fort Point - Baker Beach Coast Trail,http://farm3.static.flickr.com/2799/4243930648_0d1e294a43_s.jpg,http://alltrails.com/trail/us/california/fort-point-baker-beach-coast-trail,37.79444,-122.48222,"San Francisco, CA",trail,4
Angel Island State Park: Mount Livermore Trail,http://farm4.static.flickr.com/3576/4613603170_685e2220f9_s.jpg,http://alltrails.com/trail/us/california/angel-island-state-park-mount-livermore-trail,37.8685606,-122.4346217,"Tiburon, CA",trail,5
Tennessee Valley Trail,http://cdn-assets.alltrails.com/uploads/photo/image/10250828/icon_f49d7fab5a675644870b644117d5186d.jpg,http://alltrails.com/trail/us/california/tennessee-valley-trail,37.860345,-122.536386,"Sausalito, CA",trail,4
Marin Headlands,http://farm8.static.flickr.com/7210/6847715616_6d9e4bb519_s.jpg,http://alltrails.com/trail/us/california/marin-headlands,37.85,-122.51667,"Mill Valley, CA",trail,4
